gvkey,ratingdate,entity_id,entname,sectordescription,industrydescription,countrycode,ratingtypecode,currentratingsymbol,priorratingsymbol,regulatoryindicator,unsol,year,numeric_rating,lt,xint
,2000-05-11,305585,Packaging Resources Inc.,Corporates,Capital Goods,USA,STDLONG,D,CC,,1,2000,1,,
61872.0,2000-07-13,306355,Innovative Clinical Solutions Inc.,Corporates,Health Care,USA,STDLONG,D,CC,,1,2000,1,111.54033333333332,7.631666666666668
,2000-08-16,306374,Dwr Cymru,Corporates,Water,GBR,FCLONG,BBB-,BBB-,,1,2000,14,,
102649.0,2000-08-16,306376,Hyder Ltd.,Corporates,Multi,GBR,FCLONG,BBB-,BBB-,,1,2000,14,4710.469537054794,257.7119980821918
175004.0,2000-08-16,306845,"ORBCOMM Global, L.P.",Corporates,Telecom Services,USA,STDLONG,D,CC,,1,2000,1,266.7423333333333,12.470666666666666
,2000-02-29,307223,"Prime Succession, Inc.",Corporates,Consumer Products,USA,STDLONG,D,CCC,,1,2000,1,,
65870.0,2000-06-14,308359,International Home Foods Inc.,Corporates,Consumer Products,USA,FCLONG,BB-,BB-,,1,2000,11,1411.8069999999998,98.461
112672.0,2000-04-17,308683,Clark Material Handling Co.,Corporates,Capital Goods,USA,STDLONG,D,CCC+,,1,2000,1,355.56,16.867
148323.0,2000-03-22,308742,Rose Hills Co.,Corporates,Consumer Products,USA,FCLONG,CCC+,CCC+,,1,2000,7,188.826,16.148
127754.0,2000-12-05,308816,Gorges/Quik-to-Fix Foods Inc.,Corporates,Consumer Products,USA,STDLONG,D,CCC+,,1,2000,1,137.7985,14.677999999999999
116125.0,2000-06-09,309185,Safelite Glass Corp.,Corporates,Building Materials,USA,STDLONG,D,CCC,,1,2000,1,580.361,46.655
128219.0,2000-02-02,309900,Pen-Tab Industries Inc.,Corporates,Paper & Forest Products,USA,STDLONG,D,CC,,1,2000,1,189.872,17.427
,2000-05-17,309903,Sunterra Corp.,Corporates,Hotels & Gaming,USA,STDLONG,D,B,,1,2000,1,,
,2000-11-16,310164,Arnott's Biscuits Ltd.,Corporates,Consumer Products,AUS,STDLONG,A+,AA-,,1,2000,19,,
