gvkey,ratingdate,entity_id,entname,sectordescription,industrydescription,countrycode,ratingtypecode,currentratingsymbol,priorratingsymbol,regulatoryindicator,unsol,date_column,year,numeric_rating,countryrating,ch,wcap,ICOV,ROA,LDTC,SDTD,OM,Z_score,xint,lt
7554.0,2002-07-23,101563,Moore Wallace Inc.,Corporates,Commercial & Professional Services,CAN,STDLONG,BB+,,,1,2002-07-23,2002,13,19.755760368663594,60.6965,115.829,1.1905234788866583,-0.08217294385213297,0.11843584449698717,0.5420544051738436,0.012218116764499973,2.091294233162689,25.465999999999998,1060.0233333333333
7648.0,2002-05-30,101590,NCR Voyix Corp.,Corporates,Information Technology,USA,STDLONG,BBB-,,,1,2002-05-30,2002,14,21.285714285714285,417.6666666666667,574.0,16.895299145299145,0.0494676327934614,0.004170440579094462,0.535755834624239,0.03920658547615125,2.4666155164879533,14.333333333333334,3121.3333333333335
260408.0,2010-11-11,101682,Nortek Inc.,Corporates,Building Materials,USA,STDLONG,B,NR,,1,2010-11-11,2010,9,15.691176470588236,135.89999999999998,336.75,0.7185624878238848,-0.009118575145989793,0.6482333550797488,0.21602097280553811,0.051092385274565,1.7780303697225883,143.35,1824.4499999999998
8093.0,2004-06-02,101735,"Reworld Waste, LLC",Corporates,Electric,USA,STDLONG,B,NR,,1,2004-06-02,2004,9,20.11111111111111,164.004,56.55966666666666,1.1626269433550134,-0.03961917951374266,0.4291393593341004,0.19104957568651149,0.15914266840063837,0.4117759029363797,123.47533333333332,2929.3996666666667
8095.0,2006-06-28,101736,Oglebay Norton Co.,Corporates,Building Materials,USA,STDLONG,B,NR,,1,2006-06-28,2006,9,19.466666666666665,6.43,-174.109,0.49167688829676903,-0.07026548581840945,0.1314388391545672,0.5864776130355127,0.04628516768185328,0.5249638498722786,46.30066666666667,556.2283333333334
8150.0,2007-06-26,101748,Oneida Ltd.,Corporates,Consumer Products,USA,STDLONG,B,,,1,2007-06-26,2007,9,19.058823529411764,2.411,-20.463499999999996,-0.20293324515431838,-0.11435387624766934,0.31314260155765455,0.5422564809520032,0.0033001040584515473,0.722318625545436,27.8845,332.9495
8214.0,2006-07-13,101760,Owens Corning,Corporates,Building Materials,USA,STDLONG,D,NR,,1,2006-07-13,2006,1,19.466666666666665,1091.2001149302732,1040.0,48.66040589093862,-0.14230909270441022,0.11963988656468376,0.08727940361695441,0.07743506161668816,-0.021520874064948698,250.33333333333334,13380.0
65092.0,2020-06-15,101779,Pacific Gas & Electric Co.,Corporates,Electric,USA,STDLONG,BB-,NR,,1,2020-06-15,2020,11,16.573033707865168,,-1085.7851666666668,2.460351527549385,-0.05144249882582158,0.09260091818538711,0.29664944369663354,0.13676668406691853,0.2828781559324401,949.6666666666666,63644.0
,2003-04-23,101875,ConocoPhillips Co.,Corporates,Energy,USA,STDLONG,A-,NR,,1,2003-04-23,2003,17,21.285714285714285,,,,,,,,,,
8579.0,2014-04-10,101883,Pier 1 Imports Inc.,Corporates,Retailing,USA,FCLONG,B+,NR,,1,2014-04-10,2014,10,16.573033707865168,215.37300000000002,375.42333333333335,48.66040589093862,0.1633311731891005,0.011480636635563956,0.7567815191260928,0.10556078765140857,7.520292170931378,2.134,334.665
62290.0,2016-07-14,101996,Revlon Inc.,Corporates,Consumer Products,USA,FCLONG,B+,,,1,2016-07-14,2016,10,16.573033707865168,282.09999999999997,302.4,2.809125669823574,0.015386017795135353,0.904940672358515,0.19357714779585597,0.13838444547256443,0.6956415011045963,87.63333333333333,2636.7999999999997
,2011-05-19,102037,US Foods Inc.,Corporates,Retailing,USA,FCLONG,B,,,1,2011-05-19,2011,9,15.727272727272727,,,,,,,,,,
9355.0,2000-12-14,102049,Safeguard Scientifics Inc.,Corporates,Information Technology,USA,FCLONG,B-,,,1,2000-12-14,2000,8,,20.483999999999998,204.61033333333333,0.6416871407177638,0.07183093502036508,0.23907716479112118,0.39634818003148015,0.007343108310121176,4.269900906210325,29.212,685.224
9373.0,2007-09-27,102055,CRH Canada Group Inc.,Corporates,Building Materials,CAN,STDLONG,BBB+,,,1,2007-09-27,2007,16,19.921610169491526,14.50522681715424,42.69055008897832,8.055590819234228,0.04568570760827706,0.11220007889435608,0.44775980101361074,0.104126432059431,3.2275288290750566,14.236839879795369,497.3264124510115
