gvkey,ratingdate,entity_id,entname,sectordescription,industrydescription,countrycode,ratingtypecode,currentratingsymbol,priorratingsymbol,regulatoryindicator,unsol,date_column,year,numeric_rating,countryrating
3153.0,2012-06-25,106084,Coeur Mining Inc.,Corporates,Metals & Mining,USA,STDLONG,B+,NR,,N,2012-06-25,2012,10,16.573033707865168
,2003-09-05,106216,Mitsui & Co. (USA) Inc.,Corporates,Capital Goods,USA,STDLONG,BBB+,,,N,2003-09-05,2003,16,21.285714285714285
,2009-06-25,107058,American Commercial Lines Inc.,Corporates,Transportation,USA,STDLONG,B,,,N,2009-06-25,2009,9,17.927272727272726
,2001-04-23,107254,Energir Inc.,Corporates,Gas,CAN,STDLONG,A-,,,N,2001-04-23,2001,17,19.818181818181817
11535.0,2000-09-26,107274,Winn-Dixie Stores Inc.,Corporates,Retailing,USA,FCLONG,BBB-,,,N,2000-09-26,2000,14,
3107.0,2010-03-10,107437,Cleveland-Cliffs Inc.,Corporates,Metals & Mining,USA,STDLONG,BBB-,,,N,2010-03-10,2010,14,15.691176470588236
7772.0,2007-06-07,107459,National Semiconductor Corp.,Corporates,Information Technology,USA,STDLONG,BBB,,,N,2007-06-07,2007,15,19.058823529411764
30874.0,2002-06-11,107474,Korea Electric Power Corp.,Corporates,Electric,KOR,STDLONG,A-,,,N,2002-06-11,2002,17,16.833333333333332
3033.0,2000-07-17,107508,CILCORP Inc.,Corporates,Electric,USA,FCLONG,BBB-,,,N,2000-07-17,2000,14,
6532.0,2002-01-28,107604,LTX Corp.,Corporates,Information Technology,USA,STDLONG,B,,,N,2002-01-28,2002,9,21.285714285714285
11399.0,2016-03-11,107610,Western Digital Corp.,Corporates,Information Technology,USA,FCLONG,BB+,,,N,2016-03-11,2016,13,16.573033707865168
4091.0,2011-05-26,107614,Ducommun Inc.,Corporates,Aerospace & Defense,USA,STDLONG,B+,,,N,2011-05-26,2011,10,15.727272727272727
3026.0,2001-07-24,107622,Church & Dwight Co. Inc.,Corporates,Consumer Products,USA,STDLONG,BB,,,N,2001-07-24,2001,12,21.285714285714285
